1,あした
2,ナキ・ムシ
3,花火
4,カブトムシ
5,桜の時
6,ボーイフレンド
7,初恋
8,ロージー
9,おやすみなさい
10,あなたと握手
11,今度までには
12,蝶々結び
13,アンドロメダ
14,えりあし
15,かばん
16,花風
17,三国駅
18,キラキラ
19,スター
20,雲は白リンゴは赤
21,シアワセ
22,星のない世界／横顔
23,二人
24,KissHug
25,milk／嘆きのキス
26,戻れない明日
27,向かいあわせ
28,恋のスーパーボール／ホーム
29,ずっと
30,Loveletter／4月の雨
31,君の隣
32,あたしの向こう
33,夢見る隙間
34,プラマイ
35,もっと
36,恋をしたのは
37,予告
